"productId","productName","strategy","uiAction","initialUrl","finalUrlOrHost","networkOrFirstData","cancelOrRecovery","status","reason"
"google-antigravity-desktop","Google Antigravity 2.0","direct-artifact","install-product","https://storage.googleapis.com/antigravity-public/antigravity-hub/2.4.3-4510119262814208/windows-x64/Antigravity-x64.exe","storage.googleapis.com","Electron authorized first data 31511 bytes; total=138067936","paused then refresh/retry data 47895 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"google-chrome-devtools","Google Chrome","download-page","前往官网下载 ↗","https://www.google.com/chrome/download-chrome/","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"google-android-studio","Android Studio","download-page","前往官网下载 ↗","https://developer.android.com/studio","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"microsoft-copilot-desktop","Microsoft Copilot","download-page","前往官网下载 ↗","https://www.microsoft.com/en-us/microsoft-copilot/for-individuals/get-copilot","https://www.microsoft.com/en-us/microsoft-copilot/for-individuals/get-copilot","HTTP 200; first=15053 bytes","external entry only; no login/install","PASS",""
"microsoft-365-copilot","Microsoft 365 Copilot","login-required","登录后下载 ↗","https://support.microsoft.com/en-us/microsoft-365-copilot/access-microsoft-365-copilot-on-windows","https://support.microsoft.com/en-us/microsoft-365-copilot/access-microsoft-365-copilot-on-windows","HTTP 200; first=7599 bytes","external entry only; no login/install","PASS",""
"microsoft-vscode","Visual Studio Code","direct-artifact","install-product","https://update.code.visualstudio.com/latest/win32-x64-user/stable","update.code.visualstudio.com","Electron authorized first data 28186841 bytes; total=237798672","paused then refresh/retry data 826447 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"microsoft-visual-studio","Visual Studio","download-page","前往官网下载 ↗","https://visualstudio.microsoft.com/downloads/","https://visualstudio.microsoft.com/downloads/","HTTP 200; first=15058 bytes","external entry only; no login/install","PASS",""
"microsoft-edge-ai","Microsoft Edge","download-page","前往官网下载 ↗","https://www.microsoft.com/en-us/edge/download","https://explore.microsoft.com/en-us/edge/download?form=MA13FJ","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"microsoft-power-bi-desktop","Microsoft PowerBI Desktop","direct-artifact","install-product","https://download.microsoft.com/download/8/8/0/880bca75-79dd-466a-927d-1abf1f5454b0/PBIDesktopSetup_x64.exe","download.microsoft.com","Electron authorized first data 15832 bytes; total=731450544","paused then refresh/retry data 31603 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"cursor-desktop","Cursor","direct-artifact","install-product","https://downloads.cursor.com/production/a758f2241ca99fecf380180b6cbdbbce0f1f42cf/win32/x64/user-setup/CursorUserSetup-x64-3.14.7.exe","downloads.cursor.com","Electron authorized first data 21877 bytes; total=198259360","paused then refresh/retry data 15417 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
